Komentar Pengguna;Kategori;Label
bahkan chatgpt aja ngelag anjir gue suruh ngerjain karya ilmiah ?? emang boni sialan;Reliability;Negatif
ChatGPT sama membantu sekaliiiiiii anjeeeng;Usability;Positif
Bikin landing page gasampe 5mnt dengan bantuan Chat GPT ??;Efficiency;Positif
ah, bener juga make chatGPT buat bikin mock quiz sebagai alat bantu belajar ??;Functionality;Positif
gila si chat gpt bener bener bisa nyelesaiin semua masalah, enak bgt cok! tapi gw jadi bego;Usability;Positif
chat gpt sangat membantu untuk bnrin code selain stack overflow, tp ttp cinta stack overflow;Functionality;Positif
Seru juga chattingan sama chatgpt;Usability;Positif
Chatgpt makin lambat akwkwk;Reliability;Negatif
Kaku banget ah API ChatGPT, pantes lebih murah. Aku stay di Davinci aja pake completion.;Usability;Negatif
"Saya sudah melakukan research bahwa chatgpt diawal bagus tapi diakhir menjadi masalah terus menerus.apalagi saya dan team lagi menciptakan yang berbeda utk  pencegahaan dan aman 

https://t.co/PL88RFCSpI";Reliability;Negatif
ternyata ChatGPT blm bisa dijadiin konsultan pajak ges. bikin stres doang konsul sama ChatGPT soal PPh 21 :(;Functionality;Negatif
"Pernah iseng TO full pake chatgpt

Masih lebih gede TO paling awal gw (kondisi masih super t*l*l)?? ini bot soalan matematika aja masih suka salah, akurasinya rendah, pengolahan data kalo kita ga kasih aturan yang rinci, dia bakal olah data sesuai kemauan dia.";Functionality;Negatif
ChatGPT sangat membantu menyelesaikan error'2 tugas2 kodingan gw ???? makasih byk wkwkwkwk;Functionality;Positif
chat gpt sakti bener, jawab soal + pertanyaan temen pas presentasi jadi kerasa lebih mudah;Functionality;Positif
gila ChatGPT, bisa buat schedule dengan kriteria yang sudah ditentukan ??????;Functionality;Positif
Chatgpt lancarnya jam segini njir ?? giliran gue skripsian malem malah unavailable. Ini emg diharuskan ngerjain subuh ya ??;Reliability;Negatif
chatgpt benar-benar membantu ?? https://t.co/F4FtFP28kr;Usability;Positif
Masa ya nyari paper di chatgpt terus dia ngasih suggestion lengkap sama nama dan di publish di conference apa, pas dicari di google gak nemu sama sekali paper terkait dan asal author nya dari mana. Kepo deh cara chatgpt generate respon gimana;Functionality;Negatif
"Sebuah konspirasi ??
ChatGPT error, sudah beberapa hari tidak bisa di akses, jawaban selalu sama, dan terakhir mendadak menjadi 1 bahasa
Kebetulan kah?";Reliability;Negatif
ayo semua pelan2 belajar baca jurnal. jgn mentang2 ada chatgpt bisa digampangin gt aja, dosen2 gw 60% udh pada tau fenomena openAI jd ngewajibin jwbn pke jurnal. bisa sih minta ke gpt utk cantumin sumber jurnalnya, cmn kdg yg dikasi ga kredibel alias link bodong/sitasi gbs dibuka;Functionality;Negatif
entah kenapa bayak orang yg ngomongin tentang CHAT GPT tapi emang bener guna banget buat nugas;Functionality;Positif
Enak juga curhat ke ChatGPT hahaha;Usability;Positif
Sangat berguna ye chatgpt ni genggg hehhehehehehe;Usability;Positif
"Sejak kapan Tora Bika jadi kue basah? Sejak kapan permen ChaCha jadi permen karet? Hahahahaha, ada-ada saja ChatGPT ini, malah memberikan informasi yang salah. Oh iya, coba kalian ketik kata kunci ini di ChatGPT ""produk makanan ringan yang menghilang di pasaran""";Functionality;Negatif
woeilah nyaman banget curhat di chatgpt sekalian dapet solusinya aaaa luplup bangett ????;Usability;Positif
Chat gpt ni memudahkan kerja betul.;Usability;Positif
"Pake chat GPT utk kerjaan excel lumayan juga keakuratannya, asalkan informasi yg dimasukin sesuai kebutuhan. 
Ga kebayang gimana AI secerdas apa kedepannya dlm ngolah informasi.";Functionality;Positif
trims chatgpt, berkat kamu laprak ku jadi ez;Usability;Positif
"gila ini ChatGPT ngeri juga, interesting bgt bisa jawab apapun secara detail, gua minta ajarin code ini itu dia bisa ngejelasin lengkap, tanya ini-itu dijawab secara logis dan gampang dingerti.

Jadi semakin yakin next di masa depan teknologi bisa ngegantiin profesi apapun.";Functionality;Positif
Random notes yang kadang dari hasil screenshot dpt kita ekstrak textnya pake aplikasi scanner, lalu minta jelasin chatgpt. Misal notesnya berformat nasihat2 dalam bentuk list tanpa deskripsi, chatgpt sanggup generate penjelasan dr random notes hasil gambar tsb, awesome!!!;Functionality;Positif
Gila babi chatgpt. Betul betul membantu buat fyp hshshs;Usability;Positif
nugas tengah malem gini emang enaknya pake chatgpt sih??;Usability;Positif
ChatGPT keren sih, memudahkan banyak kerjaan. Dan bakal menghilangkan fungsi manusia nantinya ??;Usability;Positif
Trims chatgpt, perhitunganku menjadi lebih gampang.;Usability;Positif
CHATGPT BENERAN MEMBANTU BANGET ANJIR BUAT MAHAMIN MATERI;Usability;Positif
"semoga yang bikin aplikasi chat GPT hidup nya bahagia selalu????
aplikasi yg sangat amat membantu bagi kaum2 mager wkwk";Usability;Positif
"chat gpt kepake bgt kalo lagi bingung nulis body email :""))))))))))";Usability;Positif
Ga nyangka, chat GPT membantu gue dan aang untuk membuat keputusan terbesar dalam hidup wkwkw;Usability;Positif
sumpah baru tau dari matkul teori akun soal chat gpt TERNYATA SE-HELPFUL ITU;Usability;Positif
Makasih chat gpt bikin nyontek pilihan ganda lebih mudah?? https://t.co/ulWKJ4cVjH;Usability;Positif
Ternyata ChatGPT bisa mengakses file yang terbuka untuk publik. Barusan saya share sebuah artikel (PDF) lewat Dropbox ke publik. Link ke artikel itu bisa saya kirim ke ChatGPT untuk, misalnya, dibuat ringkasannya. Diskusinya juga menarik dan cukup relevan. https://t.co/TlQna1fFa5;Functionality;Positif
prasaan skrg dev seakan-akan wajib ya minimal buka 1 tab chatgpt di browsernya wkwkwk sumpah ngebantu bgt tu ai satu ??;Usability;Positif
cet gpt bisa bisanya ngelag londok lah;Reliability;Negatif
Kemarin dikasih tau temen chagpt bisa bikin coding. Pas dicoba asli dong bikin coding beneran. Trus mikir gue bikin tesis ngecoding sendiri tanya sana sini, sama chatgpt taunya yaudah gitu aja ahaha menangisss ??;Functionality;Positif
chatgpt ngasi rekomen jurnal yang gabisa dibuka terus anjir ngeselin;Functionality;Negatif
chatGPT ngebantu sih buat bantu nyariin sources tanpa harus ngecekin data dari berbagai sumber. Bikin kisi-kisi USBN jd teringani bgttt;Functionality;Positif
Emang chatgpt usefull bgt buat bantu ngerjain tugas, teknologi AI gak masuk akal kalo di implementasi ke ranah yang lebih luas;Functionality;Positif
Chat gpt meringankan perkerjaan haha;Usability;Positif
Krn buntu mau nulis email, iseng coba suruh AI chat GPT nulis email buat gw. Dan BOOM, hasilnya alus banget ?? klo gini lama2 kerjaan bs keganti AI deh, coy!;Functionality;Positif
Omg seru bgt ini main sm chatgpt wkwkkwwkk;Usability;Positif
kayaknya ga salah ya orang2 pake chatgpt sekarang untuk curhat, jawabannya sangat wise sekali wkwk;Functionality;Positif
10 menit latihan soalku diselamatkan chat GPT;Efficiency;Positif
#chatgpt bener bener ngebantu gw mangkas waktu, ngetik well structured omong kosong buat sesi performance review #sains #teknologi;Efficiency;Positif
chat gpt ini cukup membantu di tengah kebuntuan ngerjain tesis ya..;Functionality;Positif
gara2 chatgpt jd belajar python, pemrograman tanpa herr josh lebih menyenangkan;Usability;Positif
ChatGPT stuck mulu ga sampe beres nih parah. Gue udah bayar per bulan masa dapet tokennya cuma dikit. Kira listrik token apa ya kalo habis suka bunyi mulu.;Reliability;Negatif
Respons chatGPT saat ditanya ttg lagu Bill Wurtz lebih lambat dibanding suruh bikin contoh teks 4 paragraph dengan kutipan dan referensi multi bahasa.;Reliability;Negatif
ini chatgpt kalo ditanya ssm agak plin plan gw bingung sndiri;Reliability;Negatif
ku jatuh hati pada chat gpt ALIAS NI APLIKASI PENOLONG;Usability;Positif
chatgpt ngebantu banget gokil;Usability;Positif
Terbantu banget gila berkat ChatGPT, apa itu Google Search ??????;Usability;Positif
keren bgt ini chat gpt. baru aja enter pertanyaan, dia udah bisa ngoceh.. ngeri2;Usability;Positif
akhirnya bisa cobain Chatgpt bing, sumpah benar-benar keren banget sih cara jawabnya gak kaku, bikin nyaman.;Functionality;Positif
sudah saatnya untuk mengatakan gpt lebih membantu dibanding googling;Usability;Positif
[cm] mengerjakan skripsi pake chatgpt lumayan membantu : correct grammar/parafrase, ngasi ide tulisan wkwkw;Functionality;Positif
chatgpt sangat sangat membantu;Functionality;Positif
Itu chatgpt ku ajak ngobrol kok seru ya??;Usability;Positif
Sumpah sih ini lagi dipake dan diexplore bgt sama tmn developer gue, ngoding dibantuin chatgpt hahahaha ??;Functionality;Positif
chat gpt benar” gila ngebantu banget sy mencari ide untuk nugas;Functionality;Positif
Perdana bikin HPP dibantu chatGPT, enak juga ternyata.;Usability;Positif
"ChatGPT bermanfaat banget????
Thanks openAI??";Usability;Positif
anjir lah, ini nanya2 di chat gpt lebih cepet dapet info dan solusinya drpd cek google wkwk;Efficiency;Positif
Chatgpt sangat mempermudah hidup;Usability;Positif
Semua gampang sekarang pake chat gpt anjir. Barusan ngitung future value gaada 10 detik wkwk;Efficiency;Positif
Chat gpt bikin ragu aih, katanya sebagai problem solving. engga mempan tuh buat anak energi yah, entah kita yang kulot;Functionality;Negatif
sedang mendampingi projek menulis tk. sma tentang rekayasa sosial, dan chatgpt membantu sekali menemukan teori yang berkaitan ?? https://t.co/lvNkDektEy;Functionality;Positif
Capek baca buku, minta summary ChatGPT aja cepet;Efficiency;Positif
[cm] aku nyari referensi dari chatgpt kan dan ada 1 judul yang mau aku mau kaji lebih lanjut. aku dapet linknya dari dia tapi kok gabisa diakses ya? ?? search di google judulnya juga ga ada... tapi kenapa botnya bisa akses hiks;Functionality;Negatif
Gua tuh bersyukur bgt ada chatgpt, kebantu bangettttttt;Usability;Positif
gila chatgpt bener2 mantep banget dah ?? kenapa ini gak ada pas jaman gue skripsian sih jadi ga puyeng parafrase ??;Functionality;Positif
[cm] semenjak ada chatgpt aku ada refrensi terus buat tugas, bergunaa bgt untuk kaum buntu????;Functionality;Positif
"Thanks to @jjjjjjjojas, udah ngajarin saya pake chatgpt.
Sekarang pertanyaan2 random saya terjawab dengan mudah https://t.co/fZ2ZHKHjVd";Functionality;Positif
Chatgpt membantu skli mengerjakan tugas mode sks??????;Functionality;Positif
ChatGPT udah makin susah diakses ada aja gangguannya. Maksa banget harus disuruh yg berbayar ??;Reliability;Negatif
"Abis pake chat GPT untuk bahan refrat. And guess what I find? DOI jurnalnya gk cocok sama judul jurnal yang dikasih wkwkkwk. Its time for us ""human"" to shine again wkwkkwk.

Terlanjur pede banget padahal diawal dah ketemu refrat terbaru eh malah...";Functionality;Negatif
seru bgt dah curhat sama chatgpt;Usability;Positif
w nyoba chat gpt, trus kek gua buka kan referensi yg ai kasih, pas w gugel g ada bjir. untung blm diketik ??;Functionality;Negatif
akhirnya w menemukan kegunaan chatgpt yang sesuai buat kerjaan w. asli mantep bgt w bisa kepikiran gini wkwkwkwkwkwkwkwkwwk;Functionality;Positif
Chat gpt emang terbaik sih buat bikin lamaran b.inggris ?? harus pada nyoba robot pinter ini.;Functionality;Positif
kamu membuat hidupku lebih mudah, indah, dan ringan teruntuk mu terimakasih atas segalanya chatgpt;Usability;Positif
chatGPT ndak tau resep mie karet. gak jago2 amat ternyata;Functionality;Negatif
Sebagai orang yg gak bisa SQL banget (Ya, saya sehari2 pake MongoDB, kl urusan SQL pake ORM), minta tolong bikinin query pake ChatGPT emg menolong banget;Functionality;Positif
Beberapa hari terakhir senang menggunakan ChatGPT untuk membuat bank soal, sedikit membantu dan nantinya bisa divariasikan kembali sesuai kebutuhan pelajaran.;Functionality;Positif
Seminggu terakhir menikmati ngobrol dengan ChatGPT, serasa punya teman diskusi tentang segala hal. Percikan2 ide yang muncul dari jawaban ChatGPT begitu menarik. Dan memang benar yang disarankan orang2, jangan menjadikan ChatGPT sebagai supervisor, tapi lebih ke teman ngobrol.;Functionality;Positif
Capek ngechat manusia, udah dikasih tangan tapi nggak bisa balas chat. Mending chatgpt, nggak punya tangan tapi bisa fast respon kalau balas chat;Efficiency;Positif
emang kurang ajar chatgpt klo ngasih referensi jurnal dll krn dikasihnya jurnal gaib??;Functionality;Negatif
Chatgpt berguna bgt buat diskusi tugas kuliah ??????;Functionality;Positif
Hadeuh isinya Jurnal gaib semua di chatgpt;Functionality;Negatif
"Pake ChatGPT buat minta solusi script ternyata lebih jelek dibanding cari di stackoverflow/dokumentasi.

Ngotak-atik script ChatGPT: &gt;1 jam
Dari blog: 15 menit";Usability;Negatif
"API chatgpt nyebelin banget. Lebih murah sih tapi restricted banget. Pengen AI-nya jawab pertanyaan gak sopan tapi malah sok-sok ngatur mulu nyuruh ganti pertanyaan. Ngatur prompt sedemikian rupa gak ada yang berhasil.

Mau gak mau keluar duit lebih dah biar lebih bebas.";Usability;Negatif
chat gpt ni sangat membantu dalam penulisan tugas akhir ternyata ??;Functionality;Positif
Bikin design workflow simpel pakai chatgpt enak jg ternyata ??;Usability;Positif
Udah pernah coba gini, begitu di klik page 404 alias error. Coba minta provide link yg beda pun hasilnya sama, article/journal not found. ChatGPT nggak superior2 bgt lah.;Functionality;Negatif
Chatgpt gacor bgt asli makasih udah bantu gua buat essai;Functionality;Positif
emang ya, chatgpt too stronk!!! enak banget buat bantu solve codingan wkwk;Functionality;Positif
gw juga belajar python lewat chatgpt.. lumayan berhasil bikin code sederhana buat bantu kerjaan gw.. ini bener² dari ga punya pengetahuan soal python;Functionality;Positif
ChatGPT bener bener bantu pas lagi keburu-buru mau bikin presentasi, tapi materi belum lengkap;Functionality;Positif
Hahaha pgn nyoba pake chatgpt buat nulis tp kok ditolak mulu dr kemarin buat validasi pake nomer hape;Usability;Negatif
kalo pake referensi dari gpt, harus di recheck lagi, sering banget fiktif;Reliability;Negatif
terimakasih chatgpt sudah memudahkan tugasku;Functionality;Positif
I usually do internal monologues to solve my personal problems. Biasanya beres tp karena otakku agak muter2 jadi lama. Tapi pake chatgpt astaga satsetsatset, sungguh cepat menemukan akar masalah dan solusinya.;Efficiency;Positif
"nih kadang"" chatgpt emg gajelas emg paling bener pake bing chat";Reliability;Negatif
Buseeeettt enak bener tanya2 d chatgpt;Usability;Positif
chatgpt ngebantu kerjaan bgt;Functionality;Positif
chatGPT sangat membantu bagi manusia pelupa sintaks seperi saya?? https://t.co/N5keqhhOVw;Functionality;Positif
thanks to chatgpt ringkasan 15 menit kelar;Efficiency;Positif
"Bisa dong! Karena sistem deep learning, ChatGPT bekerja dengan mempelajari pola bahasa manusia dari segala data di internet.

Singkatnya, ChatGPT bisa bantu kamu untuk menjawab pertanyaan sulit, kelarin tugas, sampai buat coding!";Functionality;Positif
ChatGPT masih belum bisa membuat pantun berima ab-ab;Functionality;Negatif
"chat gpt ni bner"" sangat membantu dalam mengerjakan tugas serta mempercepat pertumbuhan kemalasan saya. https://t.co/XlYZqi58pM";Functionality;Positif
kapok sih pake chatgpt bener2 nilai gw yg keluar 53/100 tff??;Functionality;Negatif
Pengen banget chatgpt punya aplikasinya tersendiri, copek banget harus buka dari web google terus, setiap pindah halaman lain, jdi hilang halaman chatgpt nya, padahal suka banget main chatgpt nanya2 hal random ??;Usability;Negatif
Anw aku kemarin bingung cari nama cowok. Thanks ChatGPT aku punya nama tokoh baru sekarang hihi.;Functionality;Positif
Thanks @ChatGPT  udah bantuin tugas kuliah yg cukup rumit;Functionality;Positif
Gila chatgpt mantep banget bikin mindmap konsep biasanya 4 jam gegara lama brainstorming bikin outline, ini bisa cuma 2 jam mana lebih lengkap pula mindmapnya;Efficiency;Positif
ChatGPT membantu menjelaskan kalimat fafifu di buku jadi kalimat yang lebih mudah dimengerti ?? https://t.co/4LWLC7ZCtR;Functionality;Positif
Setelah menggunakan chatgpt untuk keperluaan tugas yg numpuk, jd ngerasa useless otak teh tp gimana ya mempermudah kerjaan heu;Functionality;Positif
"Asem pantesan dari kemarin gak bisa akses chatGPT, kirain emang lagi ada trouble dari servernya ternyata  beneran diblokir ????
https://t.co/SQdWjebNxh";Reliability;Negatif
chatgpt ini udh sampai ditahap buat gua impres banget. Bisa ngerjain persamaan diferensial parsial bentaran doang anjeng;Functionality;Positif
Gilak sih AI chat gpt itu. Sangat mempermudah banget. Jadi temen diskusi dan curhat juga nyambung. Barusan saya suruh buat silabus bisa dia.;Functionality;Positif
"merasa bangga 
belajar laravel dari 0 modal doc, sama chat gpt semalam jadi crud njir kurleb 3+ jam
emang kalo lagi niat belajar bisa sat set :v https://t.co/sh7wu2pTo9";Efficiency;Positif
gw selalu bingung tiap mau bikin kesimpulan tuh kalimat pertamanya mau kaya gmn trs tiba2 muncul chat gpt gw makasih bgt;Functionality;Positif
"Ternyata cukup tinggi akurasi menggunakan ""Bahasa Indonesia"" di GPT-4?? https://t.co/fPhgfTdVSp";Functionality;Positif
"Gua baru tahu ChatGPT bisa bikin sitasi palsu pas ngerjain PR

waktu itu gua nulis minta referensi untuk belajar

pas coba searching refrensi yang disebut, malah ga nemu2";Functionality;Negatif
"bikin present proposal project mobil listrik dibantu dengan chatGPT.

anjir enak bgt cepet bgt lagi hahahaha https://t.co/WWPlzChuvb";Efficiency;Positif
respon ChatGPT makin kesini makin baik aja deh. dulu masih kerasa kaku terus sekarang udah 'kayak manusia' responnya;Reliability;Positif
"Ajg gw bukin game pong dulu semingguan ini bentar doang wkwwkkw
Gila gpt-4";Efficiency;Positif
Ini yg bikin chatgpt gila sih, ngebantu bgt apalagi buat terjemahin ebook luar yg make bahasa Inggris akademik yg ribet, lebih op dari semua translator;Functionality;Positif
chatgpt over capacity disaat yang tidak tepat ??;Reliability;Negatif
chat gpt makin kesini makin sotoy;Reliability;Negatif
"manusia butuh waktu lebih dari sehari untuk membuat game sederhana, tapi dengan Chat GPT-4 cuma butuh waktu 20 menit untuk membuatnya

perkembangan ai semakin menarik dan sangat cepat";Efficiency;Positif
Tadi ngedraft surat... Trus minta advise ke chatgpt.. Lah hasilnya bagus banget susunan kata2nya. Dan ini surat bahasa Indonesia ??;Functionality;Positif
gak sengaja log out chatgpt skrg gak bisa masuk karena lagi rame bruh;Reliability;Negatif
Karena super cepat,  harusnya ChatGPT ubah nama jadi ChatGPL (Ga Pake Lama).;Efficiency;Positif
Ini setalah mencoba chatGPT emang luar biasa ngebantu waktu diskusi dr.K dari mulai bikin pertanyaan, ringkasan, sampe jawaban bisa semua ????;Functionality;Positif
chatgpt udah ga bisa dipake, untung tugas udah kelar kemaren;Reliability;Negatif
Gue baru nyobain ChatGPT terus nanya tentang bagaimana caranya biar produktivitas Indonesia bisa maju dengan berbagai masalahnya. Dan akhirnya gue amaze karena bahkan mereka bisa lebih pinter dan solutif daripada sebagian [Redacted] https://t.co/03kceKsKS8;Functionality;Positif
"Wah ini debatable kayaknya ??

Pengalaman pake chat GPT beberapa bulan ini bikin kerjaan jauh lebih gampang

Tapi setelah semua semudah dan segampang itu pun ternyata rasa males tetep masih ada ??

kayaknya mau gimanapun teknologinya rasa males or ga suka kerja bakal ada terus ??";Functionality;Positif
"Gue tau sih ini ChatGPT mayan keren. Tapi abis nyoba2 conversation kontekstual dan jawabannya semua on point &amp; bisa ngerefer konteks jawaban2 sebelumnya. Keren...... https://t.co/UMCuvWTUXg";Functionality;Positif
Gila emang ini ChatGPT sampe copywriting plus bikin marketing strategi aja lengkap bgt gak boong guys??????;Functionality;Positif
ChatGPT ga pinter² amat. Ketika gw tanya kenapa emyu bisa kalah 7-0 dari verpul, ga bisa jawab.;Functionality;Negatif
chatgpt membantu skripsiku ??;Functionality;Positif
Baru nyoba chatgpt semalem untuk bikin analisis dan laporan. Trs kayak wow hidupku jadi mudah sekali??????;Functionality;Positif
Emg udah gila chatGPT, tapi ngebantu banget buat desainer yg idenya udah mentok??;Functionality;Positif
Chat gpt sekarang kerasa lemot dibanding dulu, ya krn yg gratisan si;Reliability;Negatif
Salah satu yang keren dari chatgpt, bisa minta bikin keterangan terkait job description;Functionality;Positif
[cm] skripsi bisa selesai hanya 4 hari, ajaib sekali chat gpt ini WKWKWK https://t.co/boIRWPBlIg;Functionality;Positif
"Kemaren nyoba nulis dengan bantuan AI chatgpt. Targetnya bikin teks yg enak dibaca orang dan mudah dipahami. Alurnya aku nulis teks &gt; minta nilai &amp; perbaiki &gt; review org ke3. Hasilnya masih kurang pas buat target yg diinginkan. Dri penilaian org ke3 masih banyak yg nggak nyambung";Functionality;Negatif
Baru tadi banget nyobain ChatGPT yg versi tulisan sederhana aja dah amaze bgt (mempermudah kerjaan sbg copywriter), apalagi kyk gini. Tp agak riskan ngga sii sampai merah gitu;Functionality;Positif
sumpah ini chatGPT powerfull bgt buat desk research;Functionality;Positif
jadi ga bisa 100% percaya ama chatgpt karena pernah kasih jawaban salah wkwkwk;Reliability;Negatif
Tadi nyoba chatGPT buat simulasi wawancara, bagus juga yaaa ternyataa.. selain bisa tau pertanyaan yg kira2 bakal ditanyain recruiter kita bisa ngolah kata2 juga disitu;Functionality;Positif
Sumpah Chat GPT sedewa itu?? Gua suruh itung korelasi stat bisa dong ??;Functionality;Positif
"gw ngolah data csv pake chatgpt
gw nulis meeting invitation jg pake chatgpt
gw masak pake chatgpt juga, kasih tau punya bahan apa aja di kulkas.. dia kasih resep nya lengkap..

sungkem ama elon musk";Functionality;Positif
"CHATGPT GILAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA 
masalah kodingan langsung beres lho :')))))";Functionality;Positif
Sakti bener ini ChatGPT , apa yang gw mau in meskipun enggres belepotan ternyata bener hasilnya sesuai dengan apa yang gw inginkan https://t.co/Kv2WP8E3zh;Functionality;Positif
Alig seru banget bikin2 ide hero baru lewat ChatGPT;Functionality;Positif
Makin hari, makin seneng ngoding sembari pake chatgpt, ngebantu banget jir. Pengen berlangganan jadinya.;Functionality;Positif
Paling gasuka, lagi chatting sama chatgpt malah error ????;Reliability;Negatif
Anjing, ngoding semenjak ada chatGPT jadi gampang banget ????;Functionality;Positif
Curhat di chatgpt seru juga wkwkwk;Functionality;Positif
Lagi ngerjain rancangan asesmen terkait perkembangan motorik, lalu iseng nanya teorinya ke chatGPT. Dijawab dengan detail banget dong nih dan sesuai sama teori yang akan aku pake. ???????????? https://t.co/VXLKOWY9Qv;Functionality;Positif
Gue make ChatGPT utk kerjaan gue dan well emg dia udh kek asisten pribadi gue ??;Functionality;Positif
GPT-4, tadinya dikasih limit 100 chat per 4 jam. Turun jadi 50 chat setiap 4 jam. Sekarang 25 chat dalam 3 jam doang. Hadeeeh.. ??;Reliability;Negatif
"Chatingan sama chatGPT minta petunjuk bikin parafrasa 
Cuman kadang ngacoo ??";Reliability;Negatif
"buset gpt-4 semakin kesini semakin kapitalis, dari yang 100 messages per 4 hours sekarang cuma 25 messages per 3 hours. katanya sih grgr ""demand""";Reliability;Negatif
ChatGPT sangat membantu wei wkwkwk ??;Functionality;Positif
makazi chatgpt, buat caption akun sebelah jadi ga kudu tanya2 orang laen lagi :);Functionality;Positif
Ttp aja gw nyoba2 ngerjain TK matkul A dgn nanya2 ke chatgpt, ttp aja algo nya salah ????;Functionality;Negatif
ChatGPT bener2 assist di saat bikin copy yg industrinya kurang familiar di aku, kayak brand streetwear yg akarnya hip hop / graffiti. Bisa diajak brainstorming juga lg ?? kalo ngulik google sendiri bisa2 abis 2 jam cuma buat ngumpulin referensi doang;Functionality;Positif
chatgpt seru bgt dah buat diajak bikin fake skenario ???? ketagihannnnn;Functionality;Positif
pantes aja @aiaiaiaianakibu suka promosi chatgpt terus krn memang sangat membantu ??;Functionality;Positif
"ini Chat GPT beneran membantu kali Cok

belajar jadi lebih efektif dan efisien";Functionality;Positif
I still believe it that no matter how advance technology, Google Translate and Chat GPT are still awkward. Kemaren ngetes Chat GPT soal Gigi, mereka keliatan kayak copas Wikipedia. Mana yang pertama banyak salah pula.;Reliability;Negatif
